case,minlp_solve_time
nomination_cold_0349,172.09
nomination_cold_0372,841.36
nomination_cold_0386,854.03
nomination_cold_0459,453.1
nomination_cold_0468,165.73
nomination_cold_0742,858.39
nomination_cold_0762,248.81
nomination_cold_0992,768.62
nomination_cold_1164,300.55
nomination_cold_1169,956.28
nomination_cold_1283,344.36
nomination_cold_1301,886.74
nomination_cold_1305,352.28
nomination_cold_1328,522.31
nomination_cold_1372,327.46
nomination_cold_1377,574.44
nomination_cold_1394,610.0
nomination_cold_1405,178.88
nomination_cold_1465,281.2
nomination_cold_1471,260.85
nomination_cold_1538,414.95
nomination_cold_1563,695.77
nomination_cold_1665,972.86
nomination_cold_1689,220.52
nomination_cold_1758,142.38
nomination_cold_1808,550.41
nomination_cold_1895,593.34
nomination_cold_1910,632.86
nomination_cold_2034,942.55
nomination_cold_2126,606.08
nomination_cold_2161,275.68
nomination_cold_2235,613.59
nomination_cold_2265,264.81
nomination_cold_2270,314.06
nomination_cold_2295,911.19
nomination_cold_2623,870.32
nomination_cold_2691,111.05
nomination_cold_2763,149.42
nomination_cold_2764,265.42
nomination_cold_2765,138.68
nomination_cold_2788,238.92
nomination_cold_2789,577.75
nomination_cold_2822,597.85
nomination_cool_1452,241.43
nomination_cool_1924,244.46
nomination_hot_0434,49.5
nomination_hot_0467,85.4
nomination_hot_0474,4.14
nomination_hot_0499,133.13
nomination_hot_0723,3.87
nomination_hot_0962,3.31
nomination_hot_1210,118.19
nomination_hot_1440,29.86
nomination_hot_1929,3.8
nomination_hot_1963,3.15
nomination_hot_1987,13.47
nomination_hot_2251,81.13
nomination_hot_2523,3.62
nomination_hot_2574,18.77
nomination_hot_2854,115.63
nomination_mild_2214,337.65
nomination_warm_2681,593.99
