case,minlp_time,misoc_time,lp_time
nomination_cold_0041,1000.0,41.15,2.91
nomination_cold_0044,1000.0,15.45,2.54
nomination_cold_0046,1000.07,8.06,2.85
nomination_cold_0055,1000.0,28.52,3.3
nomination_cold_0057,1000.0,9.34,2.54
nomination_cold_0064,1000.0,48.41,3.01
nomination_cold_0094,1000.0,24.44,2.63
nomination_cold_0095,1000.0,26.43,2.72
nomination_cold_0101,1000.0,28.92,3.01
nomination_cold_0105,1000.0,7.7,2.83
nomination_cold_0126,1000.01,7.01,2.72
nomination_cold_0165,1000.0,16.06,2.51
nomination_cold_0171,1000.0,777.99,2.68
nomination_cold_0172,1000.0,9.59,2.78
nomination_cold_0173,1000.0,7.29,2.64
nomination_cold_0178,1000.0,7.55,2.59
nomination_cold_0181,1000.0,1000.23,2.71
nomination_cold_0186,1000.0,7.42,2.73
nomination_cold_0200,1000.0,11.1,3.08
nomination_cold_0206,1000.0,10.0,2.89
nomination_cold_0224,1000.0,25.24,3.19
nomination_cold_0259,1000.0,7.44,2.57
nomination_cold_0271,1000.0,36.29,2.73
nomination_cold_0275,1000.0,6.91,3.03
nomination_cold_0285,1000.01,6.56,2.9
nomination_cold_0293,1000.0,8.04,2.76
nomination_cold_0301,1000.0,7.13,3.02
nomination_cold_0309,1000.0,16.93,3.31
nomination_cold_0341,1000.01,1000.25,3.07
nomination_cold_0382,1000.0,12.99,2.77
nomination_cold_0408,1000.0,6.98,2.75
nomination_cold_0416,1000.0,7.55,2.71
nomination_cold_0417,1000.0,8.62,2.99
nomination_cold_0426,1000.0,16.82,2.83
nomination_cold_0448,1000.0,8.57,2.77
nomination_cold_0451,1000.0,7.24,2.92
nomination_cold_0452,1000.0,7.53,3.13
nomination_cold_0458,1000.0,7.17,2.97
nomination_cold_0487,1000.0,23.51,2.67
nomination_cold_0510,1000.01,8.1,2.95
nomination_cold_0514,1000.0,16.17,2.91
nomination_cold_0518,1000.0,29.52,2.69
nomination_cold_0522,1000.05,10.64,3.08
nomination_cold_0528,1000.0,12.2,2.83
nomination_cold_0530,1000.0,7.38,2.86
nomination_cold_0550,1000.04,26.6,2.85
nomination_cold_0557,1000.0,7.1,3.22
nomination_cold_0583,1000.01,11.01,2.58
nomination_cold_0586,1000.0,1001.22,2.59
nomination_cold_0601,1000.0,9.62,2.9
nomination_cold_0620,1000.0,39.46,2.94
nomination_cold_0621,1000.0,8.32,2.72
nomination_cold_0627,1000.0,41.12,2.99
nomination_cold_0640,1000.0,26.56,2.72
nomination_cold_0642,1000.0,12.12,2.71
nomination_cold_0652,1000.0,25.76,2.82
nomination_cold_0653,1000.0,1007.19,3.11
nomination_cold_0657,1000.01,8.92,2.64
nomination_cold_0658,1000.0,9.88,2.89
nomination_cold_0683,1000.0,12.19,2.75
nomination_cold_0703,1000.01,7.86,2.94
nomination_cold_0705,1000.0,8.37,2.72
nomination_cold_0711,1000.0,9.72,2.89
nomination_cold_0721,1000.01,8.1,3.12
nomination_cold_0733,1000.0,9.84,2.9
nomination_cold_0770,1000.0,31.01,2.8
nomination_cold_0788,1000.0,12.47,2.88
nomination_cold_0793,1000.0,8.91,2.91
nomination_cold_0796,1000.0,8.55,2.8
nomination_cold_0812,1000.0,10.91,2.75
nomination_cold_0815,1000.0,7.17,2.81
nomination_cold_0819,1000.0,11.93,3.13
nomination_cold_0836,1000.14,31.89,2.74
nomination_cold_0839,1000.0,7.47,2.72
nomination_cold_0851,1000.0,11.67,2.96
nomination_cold_0856,1000.0,46.26,2.49
nomination_cold_0863,1000.0,17.1,2.94
nomination_cold_0881,1000.01,9.53,3.1
nomination_cold_0883,1000.0,10.4,3.04
nomination_cold_0914,1000.0,11.49,2.77
nomination_cold_0924,1000.0,7.9,3.07
nomination_cold_0936,1000.0,9.23,2.64
nomination_cold_0979,1000.0,7.96,3.04
nomination_cold_0991,1000.0,7.18,3.03
nomination_cold_1007,1000.01,1003.03,2.71
nomination_cold_1026,1000.0,10.88,2.72
nomination_cold_1037,1000.0,7.74,2.78
nomination_cold_1038,1000.0,9.78,2.76
nomination_cold_1061,1000.0,7.38,2.93
nomination_cold_1071,1000.0,1002.63,2.54
nomination_cold_1082,1000.0,7.08,2.67
nomination_cold_1084,1000.0,13.35,3.06
nomination_cold_1088,1000.0,7.5,2.59
nomination_cold_1102,1000.0,7.73,2.82
nomination_cold_1115,1000.0,12.84,2.76
nomination_cold_1120,1000.0,20.74,2.76
nomination_cold_1133,1000.03,39.68,2.78
nomination_cold_1156,1000.0,7.81,2.92
nomination_cold_1177,1000.0,23.25,2.96
nomination_cold_1186,1000.0,7.47,3.1
nomination_cold_1190,1000.0,10.84,2.66
nomination_cold_1225,1000.0,37.07,2.73
nomination_cold_1232,1000.0,12.23,2.94
