case,minlp_time,misoc_time,lp_time,lp_gap,misoc_gap
nomination_cold_100,17.06,0.29,0.3,0.0,0.0
nomination_cold_1002,8.48,0.38,0.19,0.0,0.0
nomination_cold_101,5.23,0.38,0.24,0.0,0.0
nomination_cold_1015,0.34,0.24,0.29,0.0,0.0
nomination_cold_102,32.78,0.46,0.27,0.0,0.0
nomination_cold_1021,7.88,0.32,0.28,0.0,0.0
nomination_cold_1028,11.8,0.32,0.22,0.0,0.0
nomination_cold_1031,3.39,0.44,0.32,0.0,0.0
nomination_cold_1033,2.36,0.3,0.27,0.0,0.0
nomination_cold_1037,11.91,0.43,0.27,0.0,0.0
nomination_cold_1039,7.38,0.3,0.28,0.0,0.0
nomination_cold_1047,2.0,0.37,0.24,0.0,0.0
nomination_cold_1048,5.4,0.31,0.15,0.0,0.0
nomination_cold_105,7.34,0.43,0.16,0.0,0.0
nomination_cold_1050,0.28,0.29,0.27,0.0,0.0
nomination_cold_1055,2.49,0.34,0.15,0.0,0.0
nomination_cold_1056,13.9,0.47,0.2,0.0,0.0
nomination_cold_1057,667.35,0.28,0.29,0.0,0.0
nomination_cold_1059,1.93,0.34,0.27,0.0,0.0
nomination_cold_1069,1.76,1.74,0.33,0.0,0.0
nomination_cold_107,8.46,0.35,0.29,0.0,0.0
nomination_cold_1072,7.42,0.38,0.25,0.0,0.0
nomination_cold_1074,7.49,0.32,0.28,0.0,0.0
nomination_cold_1077,17.33,0.37,0.26,0.0,0.0
nomination_cold_108,5.43,0.4,0.27,0.0,0.0
nomination_cold_1081,2.12,0.39,0.26,0.0,0.0
nomination_cold_1083,2.25,0.38,0.28,0.0,0.0
nomination_cold_1086,3.67,0.52,0.15,0.0,0.0
nomination_cold_1088,1.59,0.15,0.16,0.0,0.0
nomination_cold_1089,1.55,0.37,0.28,0.0,0.0
nomination_cold_1092,2.44,0.15,0.29,0.0,0.0
nomination_cold_1097,4.54,0.35,0.31,0.0,0.0
nomination_cold_1099,0.42,0.33,0.29,0.0,0.0
nomination_cold_110,8.42,0.34,0.16,0.0,0.0
nomination_cold_1103,5.42,0.24,0.27,0.0,0.0
nomination_cold_1113,2.26,0.3,0.16,0.0,0.0
nomination_cold_1118,9.07,0.32,0.28,0.0,0.0
nomination_cold_1126,12.55,0.36,0.15,0.0,0.0
nomination_cold_1128,9.07,0.33,0.2,0.0,0.0
nomination_cold_1131,6.58,0.34,0.19,0.0,0.0
nomination_cold_1132,5.08,0.37,0.3,0.0,0.0
nomination_cold_1136,2.09,0.31,0.16,0.0,0.0
nomination_cold_1138,9.93,0.4,0.19,0.0,0.0
nomination_cold_1144,10.15,0.36,0.33,0.0,0.0
nomination_cold_1145,1.38,0.23,0.28,0.0,0.0
nomination_cold_1156,1.61,0.41,0.28,0.0,0.0
nomination_cold_1157,34.73,0.37,0.32,0.0,0.0
nomination_cold_1163,1.52,0.38,0.19,0.0,0.0
nomination_cold_1168,4.42,0.37,0.29,0.0,0.0
nomination_cold_1171,4.29,0.33,0.27,0.0,0.0
nomination_cold_1172,4.91,0.19,0.3,0.0,0.0
nomination_cold_1177,31.22,0.36,0.29,0.0,0.0
nomination_cold_118,585.56,0.39,0.3,0.0,0.0
nomination_cold_1182,25.83,0.34,0.29,0.0,0.0
nomination_cold_1184,11.11,0.3,0.18,0.0,0.0
nomination_cold_1188,7.28,0.31,0.27,0.0,0.0
nomination_cold_1189,7.2,0.57,0.29,0.0,0.0
nomination_cold_1197,6.14,0.32,0.15,0.0,0.0
nomination_cold_1200,8.0,0.32,0.26,0.0,0.0
nomination_cold_1202,7.74,0.36,0.25,0.0,0.0
nomination_cold_1220,2.5,0.5,0.32,0.0,0.0
nomination_cold_1224,1.85,0.3,0.28,0.0,0.0
nomination_cold_1228,6.63,0.36,0.27,0.0,0.0
nomination_cold_123,12.23,0.51,0.31,0.0,0.0
nomination_cold_1244,9.18,0.2,0.2,0.0,0.0
nomination_cold_125,5.72,0.4,0.19,0.0,0.0
nomination_cold_1251,6.08,0.31,0.16,0.0,0.0
nomination_cold_1254,5.09,0.24,0.31,0.0,0.0
nomination_cold_1259,2.21,0.38,0.27,0.0,0.0
nomination_cold_126,0.34,0.3,0.26,0.0,0.0
nomination_cold_1270,5.09,0.23,0.27,0.0,0.0
nomination_cold_1271,1.76,0.3,0.24,0.0,0.0
nomination_cold_1276,2.13,0.31,0.26,0.0,0.0
nomination_cold_1277,0.28,0.16,0.25,0.0,0.0
nomination_cold_1278,2.4,0.46,0.16,0.0,0.0
nomination_cold_1279,3.95,0.32,0.27,0.0,0.0
nomination_cold_1284,3.95,0.35,0.28,0.0,0.0
nomination_cold_1285,5.89,0.29,0.16,0.0,0.0
nomination_cold_1288,0.35,0.29,0.26,0.0,0.0
nomination_cold_1289,1.87,0.29,0.26,0.0,0.0
nomination_cold_1292,8.62,0.31,0.16,0.0,0.0
nomination_cold_1296,43.98,0.45,0.17,0.0,0.0
nomination_cold_1299,0.28,0.18,0.26,0.0,0.0
nomination_cold_13,2.07,0.31,0.22,0.0,0.0
nomination_cold_1300,11.98,0.16,0.16,0.0,0.0
nomination_cold_1303,4.68,0.3,0.26,0.0,0.0
nomination_cold_1304,14.29,0.29,0.16,0.0,0.0
nomination_cold_1306,23.01,0.36,0.2,0.0,0.0
nomination_cold_1309,13.48,0.45,0.2,0.0,0.0
nomination_cold_1310,10.11,0.39,0.33,0.0,0.0
nomination_cold_1311,15.42,0.38,0.29,0.0,0.0
nomination_cold_1315,6.11,0.41,0.28,0.0,0.0
nomination_cold_1317,12.89,0.32,0.29,0.0,0.0
nomination_cold_132,2.1,0.36,0.32,0.0,0.0
nomination_cold_1321,7.56,0.39,0.19,0.0,0.0
nomination_cold_1326,2.23,0.34,0.19,0.0,0.0
nomination_cold_1327,2.6,0.31,0.29,0.0,0.0
nomination_cold_1340,5.47,0.86,0.19,0.0,0.0
nomination_cold_1347,11.75,0.43,0.16,0.0,0.0
nomination_cold_1348,10.13,0.35,0.18,0.0,0.0
nomination_cold_1355,9.45,0.34,0.3,0.0,0.0
nomination_cold_1360,10.92,0.95,0.27,0.0,0.0
nomination_cold_1361,8.27,0.27,0.17,0.0,0.0
nomination_cold_1363,1.98,0.35,0.32,0.0,0.0
nomination_cold_1367,0.43,0.37,0.27,0.0,0.0
nomination_cold_1370,2.59,0.34,0.19,0.0,0.0
nomination_cold_1379,2.88,0.28,0.16,0.0,0.0
nomination_cold_1380,5.23,0.36,0.34,0.0,0.0
nomination_cold_1381,9.69,0.29,0.16,0.0,0.0
nomination_cold_139,1.94,0.34,0.17,0.0,0.0
nomination_cold_1395,1.94,0.33,0.38,0.0,0.0
nomination_cold_1399,9.57,0.37,0.17,0.0,0.0
nomination_cold_1400,5.41,0.33,0.28,0.0,0.0
nomination_cold_1403,4.7,0.3,0.15,0.0,0.0
nomination_cold_1404,3.51,0.29,0.27,0.0,0.0
nomination_cold_1405,3.21,0.45,0.32,0.0,0.0
nomination_cold_1409,7.97,0.46,0.31,0.0,0.0
nomination_cold_1413,8.04,0.42,0.15,0.0,0.0
nomination_cold_1414,6.57,0.36,0.16,0.0,0.0
nomination_cold_1419,21.67,0.35,0.26,0.0,0.0
nomination_cold_1421,4.95,0.33,0.29,0.0,0.0
nomination_cold_1425,4.68,0.33,0.16,0.0,0.0
nomination_cold_1426,9.09,0.3,0.23,0.0,0.0
nomination_cold_1428,3.36,0.35,0.35,0.0,0.0
nomination_cold_1432,0.3,0.3,0.27,0.0,0.0
nomination_cold_1435,4.86,0.28,0.15,0.0,0.0
nomination_cold_1437,20.5,0.39,0.3,0.0,0.0
nomination_cold_1439,4.35,0.36,0.16,0.0,0.0
nomination_cold_144,1.98,0.42,0.36,0.0,0.0
nomination_cold_1442,14.79,0.25,0.2,0.0,0.0
nomination_cold_1445,17.49,0.38,0.28,0.0,0.0
nomination_cold_1449,2.08,0.31,0.25,0.0,0.0
nomination_cold_1461,7.91,0.47,0.28,0.0,0.0
nomination_cold_1464,2.34,0.17,0.16,0.0,0.0
nomination_cold_1465,1.86,0.34,0.31,0.0,0.0
nomination_cold_1466,9.68,0.39,0.27,0.0,0.0
nomination_cold_1468,9.73,0.4,0.19,0.0,0.0
nomination_cold_1473,3.52,0.33,0.2,0.0,0.0
nomination_cold_1482,2.04,0.39,0.28,0.0,0.0
nomination_cold_1489,14.12,0.32,0.19,0.0,0.0
nomination_cold_1496,10.15,0.37,0.29,0.0,0.0
nomination_cold_1498,11.58,0.35,0.27,0.0,0.0
nomination_cold_1506,7.87,0.34,0.31,0.0,0.0
nomination_cold_1509,5.77,0.32,0.32,0.0,0.0
nomination_cold_1512,8.59,0.34,0.28,0.0,0.0
nomination_cold_1516,7.58,0.31,0.28,0.0,0.0
nomination_cold_1519,3.7,0.38,0.33,0.0,0.0
nomination_cold_1526,7.65,0.36,0.3,0.0,0.0
nomination_cold_1527,3.21,0.34,0.27,0.0,0.0
nomination_cold_1528,5.32,0.4,0.31,0.0,0.0
nomination_cold_1529,14.08,0.48,0.15,0.0,0.0
nomination_cold_1536,1.8,0.27,0.26,0.0,0.0
nomination_cold_1537,7.18,0.57,0.25,0.0,0.0
nomination_cold_1539,1.7,0.3,0.16,0.0,0.0
nomination_cold_1543,17.88,0.31,0.27,0.0,0.0
nomination_cold_1549,7.66,0.3,0.16,0.0,0.0
nomination_cold_1552,16.63,0.35,0.3,0.0,0.0
nomination_cold_1562,1.76,0.37,0.18,0.0,0.0
nomination_cold_1564,7.47,0.23,0.16,0.0,0.0
nomination_cold_1572,6.95,0.51,0.27,0.0,0.0
nomination_cold_1574,16.88,0.37,0.31,0.0,0.0
nomination_cold_1579,2.12,0.29,0.15,0.0,0.0
nomination_cold_158,7.13,0.37,0.16,0.0,0.0
nomination_cold_1580,39.65,0.34,0.28,0.0,0.0
