ideal,simple_cnga,full_cnga
3.2206384757949463e-9,3.030526391422407e-9,3.050447809159054e-9
2.405627639622676e-9,2.332967539489363e-9,2.3399649941101756e-9
3.847312195869751e-9,2.9954951022408124e-9,3.0770148446674423e-9
2.8572892485430433e-9,2.7389351283226784e-9,2.7515628479123012e-9
3.7085244483914916e-9,3.196824250495966e-9,3.2485266528762537e-9
3.810653039760657e-9,3.0822885499564544e-9,3.153506185834083e-9
3.8779309908276345e-9,2.8893849646212033e-9,2.981530467662119e-9
3.829892686637994e-9,3.0411007217615937e-9,3.117552310576853e-9
3.862707977889967e-9,2.9466546662917124e-9,3.033315125906669e-9
3.885904754668796e-9,2.8550373331967933e-9,2.9503423662218716e-9
3.834283273427128e-9,3.0303243850528617e-9,3.1079197569566527e-9
3.74332395691145e-9,3.172548657323007e-9,3.2298207316712904e-9
3.827812831521068e-9,3.046058017673937e-9,3.12185986495808e-9
8.998370307882307e-10,8.858895983773155e-10,8.888815222060244e-10
3.864708945962412e-9,2.9395109597046643e-9,3.026998404355519e-9
3.826938804288334e-9,3.0480172024214264e-9,3.1236176733099353e-9
3.721596094263374e-9,3.188973914773875e-9,3.2427639776796587e-9
3.3792768167492305e-9,3.1339692819479853e-9,3.1599247256922388e-9
3.4473969872204485e-9,3.1700630428859012e-9,3.1986737238081155e-9
3.1822129517630983e-9,3.002087353640477e-9,3.0209694890239084e-9
4.965522624916368e-10,4.672626734713655e-10,4.700304125286819e-10
5.753538275950985e-10,4.867355385572187e-10,4.955169842081137e-10
5.321645151695804e-10,4.881927728510742e-10,4.925382124275757e-10
5.718854080918969e-10,4.893863726600231e-10,4.976086085085018e-10
3.3839950614767154e-10,3.2883282344372447e-10,3.2959800652920516e-10
5.14996228226624e-10,4.789389393234651e-10,4.825790607402378e-10
5.763100248450536e-10,4.855927931026627e-10,4.946624852666697e-10
4.391061128570827e-10,4.2037245058444e-10,4.2243454556219195e-10
5.632153735455e-10,4.933541750509436e-10,5.004119417265863e-10
5.696692549042077e-10,4.908259944477557e-10,4.987264932683596e-10
5.494100092112826e-10,4.936674867341805e-10,4.991454742678353e-10
5.753797004274065e-10,4.865855588280146e-10,4.955066326099075e-10
5.783930125376295e-10,4.833260269785203e-10,4.929573581210758e-10
2.4772553921105666e-10,2.436455097489721e-10,2.433332971979668e-10
5.819284780082929e-10,4.787788163540946e-10,4.889105151541329e-10
5.863899970146115e-10,4.706485035174558e-10,4.819239589051623e-10
5.795160163970967e-10,4.820167712152798e-10,4.917943740658129e-10
5.266336198614007e-10,4.856546715836963e-10,4.897291192195098e-10
5.862877610931211e-10,4.708227781835885e-10,4.820525996928419e-10
5.250706831098731e-10,4.84708442707574e-10,4.889801116875048e-10
8.787425933973063e-7,7.597802563917772e-7,7.718286863909911e-7
7.694411972438928e-7,7.227849251186658e-7,7.276615933126468e-7
9.203980665167872e-7,6.875148953683354e-7,7.09263430639691e-7
8.812469377284472e-7,7.58482948391959e-7,7.70890086254943e-7
9.214761297837107e-7,6.830564336778191e-7,7.052160973801474e-7
8.244332915148504e-7,7.552410710045636e-7,7.624171093457749e-7
9.215286342517031e-7,6.828331233357742e-7,7.050131334337919e-7
9.008662661955847e-7,7.386010430663019e-7,7.54600012721873e-7
8.846286455168653e-7,7.563707136063595e-7,7.692916859403706e-7
1.6087401963504672e-9,1.5847245423034983e-9,1.586705988809991e-9
8.854236386768992e-7,7.558090616933532e-7,7.688565322540432e-7
9.206498132046097e-7,6.864950420106534e-7,7.083385659941374e-7
8.567115446051394e-7,7.638198651015911e-7,7.733554149020994e-7
8.986747004535213e-7,7.41915869623777e-7,7.574290528430536e-7
8.997627146573966e-7,7.403134419904048e-7,7.560645998243555e-7
8.920768551616644e-7,7.500044606630401e-7,7.641980284897742e-7
7.430513887962084e-7,7.032754459044377e-7,7.07440404167337e-7
9.211276647139433e-7,6.845234875383738e-7,7.065490144886111e-7
5.301063664400605e-7,5.155004869334769e-7,5.17039083352693e-7
6.612084501857065e-7,6.352258991492448e-7,6.379556498814292e-7
2.730651946948396e-6,2.2933123899703627e-6,2.3369728343780344e-6
2.701237210530417e-6,2.317533433611143e-6,2.3562460501766546e-6
2.631387095557105e-6,2.336941692559058e-6,2.3671145905644483e-6
2.8167156021392985e-6,2.101650607019377e-6,2.168370279539708e-6
2.76544780120544e-6,2.2442621332181114e-6,2.295354291106581e-6
2.7782408696535023e-6,2.218441841035126e-6,2.272825171061814e-6
2.8061119190267864e-6,2.141118956890079e-6,2.2040224439885647e-6
2.6503482034790555e-6,2.3356294281578515e-6,2.367773398568325e-6
2.791426713463009e-6,2.185973684920643e-6,2.24413656900638e-6
4.7605004681570367e-7,4.6930657485077845e-7,4.700172782470566e-7
2.5470649277312292e-6,2.3202595622057296e-6,2.343732880355022e-6
2.7377814485940025e-6,2.2853471863529745e-6,2.330373331354417e-6
2.81790827009083e-6,2.0967773804857286e-6,2.163948563956471e-6
2.6174130141355593e-6,2.3364772832259014e-6,2.365326552457546e-6
2.618969699292315e-6,2.3365834701791138e-6,2.365575415725398e-6
2.6871538009967888e-6,2.3250919037372125e-6,2.3617678675219887e-6
2.670784683208806e-6,2.3312547845083154e-6,2.36578668647353e-6
2.827940282022824e-6,2.0518099721424097e-6,2.1229654850194033e-6
2.7324938743250354e-6,2.291343228738628e-6,2.3353494863881673e-6
2.7002755217469753e-6,2.3181232473875146e-6,2.3566905796819035e-6
1.7394835549612053e-8,1.3941417515554855e-8,1.4277848607661003e-8
1.5499007435193565e-8,1.433264978712204e-8,1.4454066940285841e-8
1.7602379108218927e-8,1.3360116110457762e-8,1.3760199333505615e-8
1.7543135605254447e-8,1.3557645071149938e-8,1.3937687684266694e-8
